Date,Beta_Mkt,Beta_SMB,Beta_HML
2015-01-01,1.1588475730589476,-1.0872822592439988,-0.47343277188015065
2015-02-01,0.8054662638249313,0.19197455106166755,-0.39945594815163094
2015-03-01,0.989422343837312,-0.021967537520575037,-0.1665999050411882
2015-04-01,1.666787504375967,-1.0155186783793222,-1.1472989414788346
2015-05-01,1.3758338984327994,-0.32257323741325794,-0.14001117772805194
2015-06-01,1.108453429456136,-0.2665953159070684,-0.14205083626150725
2015-07-01,0.7032468491413355,-1.2287917214132846,-1.4276274470036334
2015-08-01,1.171587863666675,-0.7377242933636087,-0.3258330664794705
2015-09-01,1.1098988630429998,0.009874125066343031,-0.33932673906077293
2015-10-01,1.350278432186968,-0.5226189292064148,-0.4636274698618997
2015-11-01,1.1436481843307418,-0.42541675407048085,-0.34977770632014393
2015-12-01,1.031136297792124,-0.4573222607813013,-1.0521150031426703
2016-01-01,1.2213195191115365,-0.32716668887431705,-0.5768298771986291
2016-02-01,1.0085145452036546,0.5029196293740422,-0.6361034359892275
2016-03-01,1.4889683538082052,-0.9899608364528047,-1.0774632544438678
2016-04-01,1.35498234871297,-1.6839909875048233,-0.6447982520997556
2016-05-01,1.0854618758294914,0.23455972710555062,0.13074340743784138
2016-06-01,1.092800726079932,-0.6161899496719846,-0.5485747800127804
2016-07-01,1.1384018849129591,0.03697110889541999,-0.694200327182196
2016-08-01,0.8305375932017075,0.011377784965785523,-0.31842330234809685
2016-09-01,0.949673742150533,-0.10498964565934983,-0.6464908029053497
2016-10-01,1.0609565217199624,0.3217620414168694,-0.5054699952127543
2016-11-01,1.1719740359629522,-0.6374150536384544,-1.0741362670652779
2016-12-01,1.306578882550989,-0.22159376252090793,-0.39260478956858474
2017-01-01,1.2655868096263843,-0.6626117382539793,-0.20390947809130072
2017-02-01,0.2920071822802804,-0.07497548176600874,-0.05319449487288955
2017-03-01,1.041926204112864,-0.08072105461983677,-0.17899780282918065
2017-04-01,1.282194389710861,-0.6046478177056491,-0.2595156298597771
2017-05-01,1.2142143626696602,0.06952006232423066,-0.22760897437420308
2017-06-01,1.04939464985464,0.2451121041542269,-0.8643524099829862
2017-07-01,1.017122590438639,0.03176412376583371,-1.0266145768913226
2017-08-01,1.3937306467688937,-0.2782129287148415,-0.2554716500167777
2017-09-01,1.8847550204407157,0.22076053498708456,-0.850735917072067
2017-10-01,2.8752357745990214,-1.4153491935308893,-2.354700739426276
2017-11-01,0.7779079409109902,-0.12154996979539742,-1.1253527022934444
2017-12-01,1.6946750040485186,-0.5866266929607274,-1.0935339122814165
2018-01-01,0.9418155055775322,-0.12201910291900558,-0.4442087494382806
2018-02-01,1.07788177035167,-0.5146115323331539,-1.0503580851387453
2018-03-01,1.4029792621211874,-0.2828975156808727,-1.2267708588577249
2018-04-01,1.2072144740717115,-0.8598067038059297,-0.8057511510062085
2018-05-01,0.9694696274419182,-0.4062752648192304,-0.91166712839366
2018-06-01,1.1339937103616742,0.3106138383747557,-0.4876839644986074
2018-07-01,1.320824797913812,-0.609974902874473,-0.5481732947198531
2018-08-01,1.0397833496605844,-0.21750047596038632,-1.170221833222837
2018-09-01,1.902191278996436,-0.6084927446613294,-0.9846536807945347
2018-10-01,1.2333773349332329,-0.501629631994596,-1.1552912269005107
2018-11-01,1.4254001831430902,-0.44379982254784006,-0.8485900891448674
2018-12-01,1.2702105127760464,0.18598716736514154,-0.6735193888072717
2019-01-01,1.6013079387007003,-0.3162970874902448,-0.2898994220297455
2019-02-01,1.1381174073159583,-0.0901117248575253,-0.9029238359401114
2019-03-01,1.2116162047263919,-0.18139997563801133,-0.4571717499897728
2019-04-01,1.0467480059111323,-0.02204229826688029,-0.24840295973191112
2019-05-01,1.082245958815917,0.16685524859912781,-0.9099410188449866
2019-06-01,1.3392291040981006,-0.4902891053089602,-0.7883372926104181
2019-07-01,1.262643149819408,0.02414731445128185,-0.44673968173740725
2019-08-01,1.2309487859871753,0.32546367218207783,-0.5983530414432253
2019-09-01,1.583456143587679,-0.22253495240727544,-0.09882101989794886
2019-10-01,1.0323593697252662,-0.348505880354677,-0.452880191267509
2019-11-01,1.3434904042548501,0.022068344801990214,0.051088958236298526
2019-12-01,1.1685028910939257,-0.378859835558889,-0.30187865786493684
2020-01-01,1.0958959591529884,-1.0216144948648664,-0.6274871647394387
2020-02-01,1.1868925568524697,-0.4017104715212346,-0.9245600670687196
2020-03-01,1.0165357656659988,-0.11458811545168487,-0.46389097715056826
2020-04-01,0.9771101546870068,0.17421058253463959,-0.6790785268263856
2020-05-01,1.0529444668581474,0.09830967938290601,-0.3845082981328444
2020-06-01,1.1620195799570892,-0.22550306699213948,-0.5256698472421356
2020-07-01,1.5951249992096113,-0.7716781781547302,-0.4158103813314256
2020-08-01,1.4976931003342389,-0.46375287802848253,-0.390624905319007
2020-09-01,1.4002382974027554,-0.638345550163562,-0.3902963239061049
2020-10-01,1.4640001362957489,-0.9122273182422096,-0.4384343727338776
2020-11-01,1.3298564739236454,-0.44960483622488456,-0.40360463194473845
2020-12-01,1.4603261062924375,-0.6329685488119111,-0.307701305894159
2021-01-01,0.8517184433711209,0.28057133526996647,-0.9881094112676139
2021-02-01,0.9195610056130217,-0.174600704568254,-0.41869415839637625
2021-03-01,0.9127407077865691,-0.2622738687482117,-0.49693703559063623
2021-04-01,1.5197740300118263,-0.501399703918217,-0.24857765007278393
2021-05-01,1.277363143597989,-0.18633998398626495,-0.3515160354715307
2021-06-01,0.8438656951612512,0.04287339134034243,-0.39950507559340903
