day,pS25,pS50,pS75
0,1.0,1.0,1.0
1,0.9962293626216524,1.00058786632523,1.0057605021537785
2,0.9947724799637363,1.0018303779963986,1.0085753486913798
3,0.9934214425667244,1.0025560585659352,1.0109511262367903
4,0.9936121494312451,1.0036364051640978,1.0125341520172961
5,0.9932786673645904,1.0040648180507619,1.014772133096499
6,0.9929501751191343,1.0049267301501636,1.016225608734529
7,0.9929313938954283,1.0057556889784833,1.0180517068554067
8,0.9933565655058142,1.0069023168185856,1.0201027496920592
9,0.9924572447203392,1.0074180543625835,1.021518680062332
10,0.9910555176672584,1.0082777529109714,1.0236544937781442
11,0.9903251753411245,1.0087282364330272,1.0249907176725241
12,0.9899282356476242,1.0094933004161366,1.0269747175473745
13,0.9898216683654775,1.010515598117073,1.028291167101294
14,0.989326317224993,1.0106053537593596,1.029801534035811
15,0.9891417092558292,1.0117146472666927,1.0316978003644928
16,0.9891324499558702,1.0124863568789353,1.0330424605830282
17,0.9887888903917478,1.01288259526438,1.0341060438806968
18,0.9885549768062456,1.013539844645655,1.0351303105066358
19,0.9888018549560641,1.014276631401911,1.036423205985102
20,0.9880886752319921,1.014626081038661,1.037857303837028
21,0.9870445992319705,1.014516397738412,1.0394540477849301
22,0.9873066596076525,1.0151659416539063,1.0408298843479327
23,0.9867121397663121,1.01648780533978,1.0423776076747209
24,0.9866424258801675,1.0171927746807454,1.0435288618230945
25,0.9868675755766114,1.018200991211881,1.0456383448385882
26,0.9866682105592302,1.0184876199438593,1.0463524829084088
27,0.9861885267731516,1.0193585494863049,1.0475158900509067
28,0.9867670304558218,1.020477258872694,1.0488304267116204
29,0.9868686306879638,1.0204716101891893,1.0507790072993721
30,0.9863536747033316,1.0210666442481955,1.0512999522408921
31,0.9852196264564058,1.0220448020820498,1.0532229680334009
32,0.985650455971474,1.0229499731997778,1.0545851328359377
33,0.9854256663830294,1.0237295061066214,1.0564198134871596
34,0.9841712178513431,1.0242200944055786,1.0573331253451828
35,0.9854649906240978,1.02494341753376,1.0587319635550276
36,0.984819665814572,1.025466574540296,1.0589994579633837
37,0.9855654580603331,1.0256076737048572,1.060263622902286
38,0.9843296782653993,1.0256539229516144,1.0612195598032526
39,0.9846751830740379,1.0274588369729365,1.0622907499915075
40,0.9840798825863735,1.0280712435744574,1.063514533931823
41,0.9838626753981548,1.027750299281401,1.0644967898032696
42,0.9840637610819087,1.028353636766576,1.0655515603353862
43,0.984506700681172,1.0289185627234065,1.067042576409098
44,0.9844162115547463,1.0294191235241128,1.0683503242278127
45,0.984363664896833,1.0291444705679844,1.0697550683405783
46,0.9840772100046925,1.0300943603567605,1.0708519334981745
47,0.9848224022870276,1.0307439167734391,1.0721283155469736
48,0.9857505390824292,1.0311719568847924,1.0728296507586355
49,0.9853479966886753,1.0313043555629582,1.073516643245259
50,0.9859588762443511,1.0321144298804483,1.0755542607986364
51,0.9852330142568677,1.032502765746245,1.077216910500967
52,0.984261250184276,1.0332409657944275,1.076980192363114
53,0.9857737554799542,1.0332592883722889,1.0770926209083007
54,0.9855276998098754,1.0343446215054688,1.0799657162685572
55,0.9853884458775705,1.034402955121539,1.080007227258081
56,0.9858751650301666,1.035495911423848,1.0813769046985806
57,0.9865794310541097,1.0362795166479635,1.0813892371909255
58,0.9862870885831116,1.0368480763904047,1.0829951758661998
59,0.9864285544403393,1.0376151689111477,1.0837709185722115
60,0.9858236676072953,1.0381933486339234,1.0859267238419164
61,0.9862109094232945,1.0382790383854765,1.0865458360387692
62,0.985845967482698,1.0382076898889456,1.0876593854967314
63,0.9860434643388507,1.038682814482998,1.088351845578765
64,0.9858192104135557,1.0386272261277067,1.0890812540892825
65,0.9854755351447768,1.0396947298947428,1.0902476257677618
66,0.9852682884495638,1.0398470812830085,1.0905500585963481
67,0.9859779892955545,1.040068411870636,1.0920988861666223
68,0.9857289423780407,1.0408129189667537,1.0936715375663764
69,0.9852092239265322,1.0410832004216108,1.0949486363406138
70,0.9851038276448718,1.0420633868383633,1.0954832808124013
71,0.9853144371062582,1.0429633545885115,1.0967172904808267
72,0.9857495749357905,1.0435244608217686,1.097532263340728
73,0.9863902375735262,1.0444933999736739,1.09931318613629
74,0.9857381228933226,1.0451599669994884,1.0997954839574866
75,0.9850394841809852,1.0452380348948465,1.1017889121524178
76,0.9851139764093384,1.045666980082823,1.10179401129452
77,0.9858985181074881,1.04628409569405,1.1032578697990845
78,0.9858854893540878,1.046751218940678,1.1044283866921438
79,0.9850561860026504,1.0475640235939139,1.1049588817450469
80,0.9851569514162319,1.0482529848871192,1.1063091121966804
81,0.9850325452111739,1.0496029776965277,1.1072827996076606
82,0.9849312972650768,1.0491319460229818,1.1084081297923278
83,0.9856781191581779,1.0488706472597897,1.1093456780834439
84,0.9857565507110604,1.0497355605610084,1.110209299389973
85,0.9856880377654877,1.0500684334390251,1.1108824513901179
86,0.9866786804501898,1.0509276516379185,1.1130416601347917
87,0.9864673687428565,1.0521803226552984,1.113675545188191
88,0.9886894587113308,1.0511969865647819,1.1138788816902965
89,0.9880766721975637,1.0524572104101253,1.1155271489517926
90,0.9880381500601154,1.052645586189304,1.1164694775178254
91,0.987174225002803,1.053539828372367,1.1171428053911039
92,0.9886273417370705,1.05495173896648,1.1177296073286147
93,0.9885302027930687,1.0553252842088585,1.1191723781469851
94,0.988783824278106,1.0560576227479914,1.1195869278820116
95,0.9888204747541302,1.05722607945818,1.1203107566861044
96,0.9895421186468781,1.0576323053201149,1.1207463236615374
97,0.9890092402529936,1.0573665532316574,1.122571498030078
98,0.990260019570883,1.058504238610205,1.1233454853400697
99,0.9896427510322241,1.060084255585421,1.1239959974073612
100,0.9892086885554812,1.0591348094798754,1.1245654775184803
101,0.9891464660122821,1.0599854174616203,1.125915669103946
102,0.9889988861170926,1.0602696962316998,1.1269411677407826
103,0.9905258995220745,1.0606324373644997,1.1273562643848498
104,0.9914733376360503,1.061133982821219,1.128326001768417
105,0.9905075311224143,1.062632293550195,1.1300276269326885
106,0.9915185343639978,1.0632219736169775,1.1310886105998443
107,0.9912216057804907,1.0638487497883575,1.1321047326436182
108,0.9902071078614694,1.064846284831316,1.1322152017571856
109,0.9905295111899582,1.0651516057252102,1.133304388145267
110,0.9902057857291964,1.0655464884260497,1.1336252186114772
111,0.9915528785383819,1.0667325514943116,1.1347590375331982
112,0.9907816472458992,1.066567378002382,1.1367790560009798
113,0.9895521612318536,1.067659626949118,1.1380500998003835
114,0.9906095770745658,1.0679855295454983,1.1382639437100064
115,0.9903618667892811,1.0686133366351656,1.1387808063108236
116,0.9917758814722821,1.0695230059530472,1.1388482041697887
117,0.991427968860551,1.070261231914273,1.1393257305025346
118,0.99127996936403,1.0705963371989355,1.14183489482925
119,0.9917238935267735,1.0702581467285974,1.1420253215702918
120,0.9925866821420946,1.0708621442004134,1.14270733870932
121,0.9932473540883018,1.0718615381312129,1.1436678431873288
122,0.991545130240207,1.071446735201738,1.144224731241367
123,0.9912918600898346,1.0716287525351231,1.146366497823216
124,0.9922247712357266,1.0725427630497881,1.1476095610966193
125,0.992042898152246,1.0740773811401891,1.1479470567738839
126,0.9926801635429356,1.0748656499287839,1.1494441094672618
127,0.9929345848412879,1.0753596512521157,1.1502548221576434
128,0.9942496930004121,1.0761226388655811,1.1508119053797903
129,0.9952061131690166,1.0762870095047419,1.1521752889994459
130,0.9954468999934871,1.0766534533468393,1.1532518498591822
131,0.9960240354521038,1.0771402894100932,1.1528803587428915
132,0.9950707346972734,1.076368548154186,1.1538325634878266
133,0.9962560385609809,1.077079532171314,1.155234081623127
134,0.9966653486744699,1.0779235722277283,1.1564512220473717
135,0.9968791376829594,1.079436847774773,1.1568777057167496
136,0.9973955272333108,1.080537389288357,1.1589540741602042
137,0.9976929300824573,1.0813285212917845,1.1593693605991133
138,0.9988497729535314,1.0815657878707075,1.1609041797653845
139,1.0002338147043284,1.0820100816901839,1.160791348870785
140,0.998866533918773,1.0827937226207278,1.1621232407007676
141,0.9997839867419818,1.0834695984194318,1.1635138495769861
142,0.9992710268774359,1.0828100108095202,1.1652755856039778
143,0.9992105136507163,1.0832279423510942,1.1650792976957023
144,1.0002498697862259,1.0842226602670775,1.1664477211360214
145,1.0000813069911965,1.0855634115249404,1.1661852852685608
146,1.000696705874679,1.085997480934632,1.1667370869598768
147,0.9998380075469702,1.0858257282731159,1.168091967008239
148,0.9998280893448767,1.0872576160399625,1.1699112203113178
149,1.0007720712506567,1.0881874528821143,1.1706447080806246
150,1.00080379940334,1.0892135567795245,1.1726446941051603
151,1.000561722279134,1.0886386943650945,1.1733280548266114
152,1.0009668497953306,1.0900304386905382,1.1738732062971462
153,1.0012031228196911,1.0906489056882003,1.1759510293172535
154,1.0011092291904804,1.0902258374203926,1.1770083880823554
155,1.0018989058630203,1.09087953839263,1.1763119429904205
