day,p25,p50,p75
0,1.0,1.0,1.0
1,0.9937449746691278,1.0011671077586732,1.0087905010232783
2,0.9904628316245967,1.0029622913246352,1.013780878974712
3,0.9882523428077291,1.0039836465013803,1.0175391909065312
4,0.9883500905464404,1.0057347398845087,1.0202134848093214
5,0.9883669024445112,1.0058803160047884,1.0235243334031134
6,0.987622393954371,1.007411487808819,1.026320421672077
7,0.9863753152780323,1.009054712936785,1.028893445992966
8,0.9860674570532586,1.0113780422836542,1.0311534419835193
9,0.9865658937648261,1.011836219644314,1.0346893695335622
10,0.9858859279674459,1.0124528100211514,1.037076844089643
11,0.9843606094014064,1.013889220706425,1.0392303427321665
12,0.9844670406618646,1.0142914966150667,1.0423951865477115
13,0.9844966722772993,1.0161735961132798,1.0447888404315764
14,0.983537210547887,1.0177821575438462,1.0475805512418874
15,0.9833563463802845,1.0177778189655649,1.0500624078379501
16,0.9831196629874939,1.0190957191683836,1.052115751378457
17,0.9823108068171957,1.020655736774832,1.0543583918840813
18,0.9820905276948375,1.0219324494186133,1.056582410794913
19,0.9834368076818957,1.0235748829050246,1.0589526427415716
20,0.9820111217620784,1.0246316126247779,1.061222217362273
21,0.9811241006334355,1.0246046349751932,1.062566080387567
22,0.9812124867945122,1.0254417185761773,1.0648263816144674
23,0.9812189318723128,1.026677445611066,1.0672887078615783
24,0.9808652228077176,1.0273966036353128,1.0697219300175718
25,0.9815249759433081,1.0284714347707007,1.0724663180120124
26,0.9813063971847739,1.0297970802129615,1.0741003983005932
27,0.9820600801933376,1.0311812842361676,1.0766948142726083
28,0.9815429943223245,1.0325954812092073,1.078667234894716
29,0.9815048995122653,1.033234407202562,1.0805877773617785
30,0.9821163746417098,1.0330331728647684,1.082328495321177
31,0.9813706269395448,1.0344400582559805,1.0861824945968148
32,0.9817887206280034,1.035462903483174,1.0875366475787853
33,0.9818789724745111,1.0360014495953904,1.089527155639814
34,0.983135131283717,1.0360614721672867,1.0905756936442539
35,0.9837486856184307,1.0380720439274933,1.0934605596040299
36,0.9820426848840532,1.0379722231197255,1.0949485904082306
37,0.9827594710215776,1.0397563507293572,1.0971672779921744
38,0.9834325160393651,1.0399589612230589,1.098195600671708
39,0.9826416563181809,1.040778667150002,1.100766937498228
40,0.9832195902234449,1.0425537324364371,1.1024523950417309
41,0.9845839364335753,1.044096229051835,1.1037819839838452
42,0.9844700179265062,1.0435578911347776,1.105996139858836
43,0.9849880807843084,1.0453823875423551,1.1078939217955386
44,0.9849131501364397,1.0467321696131222,1.1094104812858432
45,0.9850512706144441,1.0476858077838862,1.1107520022405093
46,0.9850941217447213,1.047360459217464,1.1125748954293246
47,0.9862799966842742,1.0503693659751112,1.116256656219241
48,0.9870349417266855,1.0510083444920961,1.1172337089595867
49,0.9866005434990822,1.051433945294942,1.1188260301747213
50,0.9868830054506554,1.0532277125897567,1.1217521117764346
51,0.9853920238134355,1.0533651889688715,1.123002120949562
52,0.9868542152235924,1.0554670199184577,1.1243316617371897
53,0.9886450135937357,1.0564522359245907,1.1271518166421854
54,0.9871106228519907,1.0566384977262309,1.1281930011363275
55,0.9879742450983567,1.0578438796585938,1.1295690686528916
56,0.9881419147743292,1.0592327738964178,1.131495452443497
57,0.9888670297832465,1.0599606783601478,1.134811331472005
58,0.9883441698017302,1.0604323239660518,1.136674523256123
59,0.9884603163177081,1.0617078109202072,1.1384022821356852
60,0.9879900086789031,1.0629068682327318,1.139279412192799
61,0.9882511258945516,1.0643670954965025,1.1412299642364254
62,0.9882719906091685,1.0648689095190171,1.1425594639981926
63,0.9890906945845658,1.0646210292224616,1.1444584706393686
64,0.9879568873156646,1.0658919140792866,1.1477102446032588
65,0.9895304789333728,1.0681753556271645,1.1468545163176138
66,0.9878352301569556,1.0686984071032,1.147933215672845
67,0.988511810234275,1.0690431363323054,1.1501710199147297
68,0.9885026717830114,1.0705407814836034,1.1516155488464561
69,0.9892507893177372,1.072217680972969,1.1531417836243303
70,0.9901507715572893,1.0731181823156521,1.1559433534243808
71,0.9897455807606688,1.0735990498864831,1.1575034945038518
72,0.9907237921805578,1.0735704491254947,1.1599259647343692
73,0.9919014855655686,1.0753005486751186,1.1623432309250226
74,0.9924280819655495,1.0761998189881492,1.161056156831037
75,0.9923025004132213,1.0777544409075097,1.1634568721079623
76,0.9922529581276281,1.0789929369527798,1.1662073303044371
77,0.9933515119237741,1.079199368808878,1.1670994102897678
78,0.9943085040613586,1.080287774653564,1.1683985900305007
79,0.994626354244418,1.0819154971758822,1.1727379962348183
80,0.993875323639927,1.0819742792159555,1.1734520790046066
81,0.9933872735345594,1.0838947320672832,1.1769466753787377
82,0.995271752122943,1.0850422976059813,1.1781951160951343
83,0.9960719632176906,1.085541875280064,1.180138108202491
84,0.9961369115747996,1.0866267723964413,1.1810457378910888
85,0.9960268554678384,1.0884501284581694,1.181913780238971
86,0.9960882712563902,1.0897263072094514,1.1843769558344226
87,0.9979851085079325,1.0895444735316069,1.1865071032307388
88,0.9976303739641523,1.0914228672762882,1.1869815176841647
89,0.9986745263397095,1.0929816940447763,1.188159142004696
90,1.0001286410662087,1.0950150227178534,1.1922207892927505
91,0.9999529701841149,1.094320991480859,1.1926919000714626
92,0.9996574458965596,1.0958915097290691,1.194632987898541
93,1.0000075521983622,1.0965962475727395,1.1960314531876275
94,1.0019071586293726,1.0968788816374242,1.1956164143351877
95,1.0023739218616885,1.0977533308070557,1.1988080715577492
96,1.0029224751120696,1.1001102885974545,1.2014989592973733
97,1.0036015556563616,1.101740498601845,1.2021266943745434
